Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2020-12-14,2662.3330078125,2696.76373877687,2563.6936164010617,2607.429950328775,16354468,2020-12-14
2020-12-21,2707.32568359375,2718.4924071274,2591.610420101273,2662.333002481056,10185064,2020-12-21
2020-12-28,2724.912841796875,2747.0136460289846,2647.443706962216,2707.9301185448326,13463509,2020-12-28
2021-01-04,2904.185546875,2910.7926158742966,2736.731266472815,2745.1528826180224,24238184,2021-01-04
2021-01-11,3008.8271484375,3046.654332645565,2903.7201838919927,3005.7096806491063,27755532,2021-01-11
2021-01-18,3079.582763671875,3102.751053552279,2971.711879743572,3030.075894168431,16421092,2021-01-18
2021-01-25,2900.80810546875,3113.799073779424,2890.226057725581,3085.036571802175,13589146,2021-01-25
2021-02-01,2944.254638671875,3018.748022213272,2838.108890794806,2890.226102695462,13796945,2021-02-01
2021-02-08,2974.8818359375,3026.1600415513726,2941.6440988176737,2973.669760099015,11256612,2021-02-08
2021-02-15,2863.9814453125,2991.850567519542,2812.0504197728765,2991.850567519542,17659986,2021-02-15
2021-02-22,2698.446533203125,2886.4977113134796,2685.1141500590506,2886.4977113134796,22751300,2021-02-22
2021-03-01,2804.498779296875,2872.9317950985073,2705.4385939730373,2728.00096242399,17202643,2021-03-01
2021-03-08,2851.021484375,2906.075674453507,2789.627625707023,2811.9102451561685,9937617,2021-03-08
2021-03-15,2843.796142578125,2941.504482808384,2784.9195274170943,2835.218742383612,21263161,2021-03-15
2021-03-22,2859.272705078125,2954.556886046402,2814.380831660784,2842.3974232326264,15211879,2021-03-22
2021-03-29,2950.827880859375,2997.4444350593653,2853.772123967038,2859.273013934573,12509153,2021-03-29
2021-04-05,3097.437255859375,3127.365177718715,2937.7755416398195,2956.4221651983075,15589939,2021-04-05
2021-04-12,2978.9375,3112.214407332693,2865.1000139667485,3097.4368689604776,21733841,2021-04-12
2021-04-19,2899.083740234375,3007.0943961018133,2881.882275866952,2954.5574442202073,9425288,2021-04-19
2021-04-26,2830.231201171875,2943.6960937130784,2815.6403085019474,2892.1381312817557,10294414,2021-04-26
2021-05-03,2920.8994140625,2946.025914158549,2800.7220509278186,2820.2076758800085,9180108,2021-05-03
2021-05-10,2845.00830078125,2950.0819683485533,2834.286493322956,2933.066926077782,8575271,2021-05-10
2021-05-17,2872.0458984375,2912.602300509252,2830.5571652836393,2848.2714558437146,10989634,2021-05-17
2021-05-24,2930.876220703125,3000.008482694332,2864.121220988886,2872.978366691814,13141112,2021-05-24
2021-05-31,2945.352783203125,2970.274189697061,2918.417151388544,2951.2083553367297,8388084,2021-05-31
2021-06-07,3067.1962890625,3100.1748332616803,2935.8441100816713,2946.5245846503426,12172081,2021-06-07
2021-06-14,3089.212890625,3146.082168168337,3046.35009753575,3072.0677276426372,10441741,2021-06-14
2021-06-21,3167.443603515625,3185.103875369315,3046.490789794425,3058.9514955382306,11184426,2021-06-21
2021-06-28,3115.586669921875,3177.468416662366,3087.245694069292,3177.468416662366,7218290,2021-06-28
2021-07-05,3005.688232421875,3161.071771859116,2998.9895500062325,3131.091245273611,15623866,2021-07-05
2021-07-12,2993.180908203125,3031.7807909443914,2974.6304113870337,3030.8438994762378,9235338,2021-07-12
2021-07-19,3016.66162109375,3043.6090473962154,2963.4237488280896,2985.817471557772,8044530,2021-07-19
2021-07-26,2974.033203125,3028.4914987383,2941.1234458777135,3004.595620044127,8773572,2021-07-26
2021-08-02,3107.69140625,3121.0242558406057,2973.6112569937422,2985.817428872782,14169885,2021-08-02
2021-08-09,3251.91162109375,3267.498054079187,3107.878896264974,3120.9300180638515,11154762,2021-08-09
2021-08-16,3342.1435546875,3375.4757912913506,3226.654396876975,3248.719398572482,11886965,2021-08-16
2021-08-23,3492.98291015625,3501.762054056069,3344.396277885336,3361.391112353057,14225841,2021-08-23
2021-08-30,3607.43994140625,3623.4956131909726,3462.421288415092,3488.1480490895456,13034459,2021-08-30
2021-09-06,3559.8828125,3640.8193007711043,3526.6445608875038,3614.6228418128812,8897055,2021-09-06
2021-09-13,3594.107666015625,3738.6098812803775,3536.97329636044,3536.97329636044,15567844,2021-09-13
2021-09-20,3634.904052734375,3703.540157000865,3575.3285918423003,3576.408276867183,9638827,2021-09-20
2021-09-27,3502.419921875,3665.6070864792023,3494.861439285123,3661.8513415135476,10246384,2021-09-27
2021-10-04,3695.32421875,3746.2615083569344,3481.059020572486,3497.349655577555,9494552,2021-10-04
2021-10-11,3390.921142578125,3528.052822413576,3387.869599884088,3525.7054818797014,27586233,2021-10-11
2021-10-18,3291.500732421875,3471.4168470040236,3278.471421274707,3389.901774149421,17222122,2021-10-18
2021-10-25,3196.39208984375,3319.8639349742016,3185.291337070889,3295.4047504150267,15370613,2021-10-25
2021-11-01,3300.719482421875,3311.3027823266166,3210.6909238333346,3234.2093680660937,6974762,2021-11-01
2021-11-08,3317.0888671875,3337.738017840292,3232.375374661568,3337.738017840292,8857036,2021-11-08
2021-11-15,3269.722412109375,3363.655175795686,3247.0507683324076,3318.9230462866944,7591873,2021-11-15
2021-11-22,3242.58203125,3307.586872488709,3205.846175885819,3272.2621237607527,11274013,2021-11-22
2021-11-29,3424.709228515625,3448.6980448703275,3204.576560790118,3242.8645472335484,16311510,2021-11-29
2021-12-06,3421.275146484375,3441.2187411492478,3313.2784052289912,3424.7087474544887,7841435,2021-12-06
2021-12-13,3371.933837890625,3444.9820407971993,3347.2863222388114,3433.6931864854664,11640416,2021-12-13
2021-12-20,3453.354736328125,3485.4339912474097,3302.1311157901973,3376.3083926010668,9880411,2021-12-20
2021-12-27,3516.807861328125,3537.1747463898587,3436.6099498574504,3453.449067552439,7620892,2021-12-27
2022-01-03,3625.13330078125,3658.6705132260217,3523.06324417433,3527.7669334188886,10838679,2022-01-03
2022-01-10,3732.98876953125,3742.2551291281616,3609.1878075374434,3742.2551291281616,19079572,2022-01-10
2022-01-17,3606.318115234375,3803.4026711601878,3547.6161723072532,3756.0835170487903,18223318,2022-01-17
2022-01-24,3477.469482421875,3627.8749275122045,3416.2612413150327,3618.7809476298994,15451074,2022-01-24
2022-01-31,3595.126708984375,3658.832421541768,3507.013165799789,3533.0232449092305,11096678,2022-01-31
2022-02-07,3482.087158203125,3611.053442982311,3477.422369332615,3572.6038488184126,12468260,2022-02-07
2022-02-14,3575.336669921875,3632.06878499541,3496.2701670689235,3509.4636393974856,19963589,2022-02-14
2022-02-21,3317.923095703125,3607.28429673802,3195.7421952296513,3590.5096910115476,22889515,2022-02-21
2022-02-28,3321.315673828125,3372.4403834377063,3256.808828518066,3288.9444523030274,10348579,2022-02-28
2022-03-07,3391.805908203125,3471.76786320663,3233.8613410712887,3251.2484060974143,12703640,2022-03-07
2022-03-14,3461.166259765625,3496.270321620167,3373.759501725121,3373.759501725121,12107748,2022-03-14
2022-03-21,3493.867431640625,3561.7667485199086,3406.743430585916,3483.0771008148117,10486816,2022-03-21
2022-03-28,3542.211669921875,3546.2168311050254,3450.281394867553,3482.1342521746133,9588632,2022-03-28
2022-04-04,3473.322509765625,3614.63419224297,3432.6584393639764,3545.2741383355606,10631272,2022-04-04
2022-04-11,3450.98828125,3523.599545500214,3438.171903163205,3477.4223917881222,8396808,2022-04-11
2022-04-18,3404.434814453125,3434.072966792942,3241.0240692610478,3402.0316712740178,13493637,2022-04-18
2022-04-25,3342.377685546875,3414.517753371363,3304.305186054098,3353.0267484979813,9386586,2022-04-25
2022-05-02,3234.8505859375,3343.5552210878636,3227.217128819276,3317.121114490596,7253060,2022-05-02
2022-05-09,3218.170166015625,3265.1956037409327,3154.04065782764,3202.243853946007,10941302,2022-05-09
2022-05-16,3103.293212890625,3293.6561734141314,3043.9225865887393,3218.2649019196733,12524758,2022-05-16
2022-05-23,3073.419189453125,3146.5485781395087,2972.3477752521253,3114.4131896185654,13469585,2022-05-23
2022-05-30,3263.8037109375,3299.049496557181,3117.8878678695755,3127.9918435035943,13000985,2022-05-30
2022-06-06,3187.667236328125,3275.994906682459,3174.9542297170137,3242.789050402735,8384952,2022-06-06
2022-06-13,2930.559326171875,3124.1970171198,2868.844049594616,3121.3508005843128,14319412,2022-06-13
2022-06-20,3124.291748046875,3173.531197747302,2911.6792962291393,2935.3977655695526,13628241,2022-06-20
2022-06-27,3145.16455078125,3190.514086785813,3085.3465143245394,3178.2754471173494,9794208,2022-06-27
2022-07-04,3098.05908203125,3149.2434941957017,3038.0988359274343,3142.222919694484,11102143,2022-07-04
2022-07-11,2841.093505859375,3059.6828483267655,2801.625876312849,3041.799028020374,23912659,2022-07-11
2022-07-18,3016.39208984375,3041.1244122454964,2867.332331662184,2875.6081007876555,12966646,2022-07-18
2022-07-25,3140.909912109375,3155.5591971184012,2945.5246465657865,3010.684807486102,10363269,2022-07-25
2022-08-01,3200.980712890625,3222.7164788776313,3111.5162508538447,3164.785865665161,8729351,2022-08-01
2022-08-08,3235.701171875,3261.5273304112325,3172.395894019192,3200.933188418165,5868797,2022-08-08
2022-08-15,3220.671875,3254.678821623717,3198.079847522705,3235.7015649902146,5291337,2022-08-15
2022-08-22,3065.095458984375,3219.1018556444233,3058.0087443631223,3200.9330196070946,8482603,2022-08-22
2022-08-29,2977.771728515625,3069.1862962499645,2930.7804056240943,2972.635107943945,11570533,2022-08-29
2022-09-05,3060.767578125,3075.844875683391,2950.756395351749,2971.3507176597955,8283197,2022-09-05
2022-09-12,2862.00537109375,3110.375063656224,2853.7296016962528,3081.9327526170528,16309119,2022-09-12
2022-09-19,2836.65478515625,2929.7814000361245,2833.753446995725,2887.9743085193086,10540690,2022-09-19
2022-09-26,2858.0576171875,2906.8564366222104,2783.432639446751,2815.537095359443,13203958,2022-09-26
2022-10-03,2915.46533203125,2971.6839007697254,2828.9974138569664,2848.9735220247526,7639901,2022-10-03
2022-10-10,2948.045166015625,2996.415973917999,2858.485714801139,2863.2419306327547,13760713,2022-10-10
2022-10-17,2984.43017578125,3006.3087683035774,2921.6957362787784,2922.8371816151325,7114530,2022-10-17
2022-10-24,3016.807373046875,3036.835178257966,2989.245391391628,3023.3403455009857,6124752,2022-10-24
2022-10-31,3068.450927734375,3118.615912924641,3019.573537661779,3050.9028457021186,9203094,2022-10-31
2022-11-07,3162.43798828125,3186.900660770773,3023.2447927353965,3079.5133866695883,7475251,2022-11-07
2022-11-14,3188.6650390625,3211.9830805008705,3139.5969617892843,3170.115522778731,7073543,2022-11-14
