Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Datetime,,,,,,
2025-04-17 04:00:00+00:00,3235.199951171875,3240.699951171875,3218.199951171875,3226.10009765625,298859,2025-04-17
2025-04-17 04:30:00+00:00,3230.89990234375,3235.89990234375,3225.199951171875,3235.199951171875,165792,2025-04-17
2025-04-17 05:00:00+00:00,3235.10009765625,3242.0,3230.800048828125,3230.800048828125,99767,2025-04-17
2025-04-17 05:30:00+00:00,3251.300048828125,3252.800048828125,3232.89990234375,3235.10009765625,189309,2025-04-17
2025-04-17 06:00:00+00:00,3256.89990234375,3262.300048828125,3249.199951171875,3251.300048828125,217386,2025-04-17
2025-04-17 06:30:00+00:00,3268.5,3269.199951171875,3253.0,3256.89990234375,158705,2025-04-17
2025-04-17 07:00:00+00:00,3268.0,3281.800048828125,3264.300048828125,3268.800048828125,267380,2025-04-17
2025-04-17 07:30:00+00:00,3277.199951171875,3278.60009765625,3268.0,3268.60009765625,159652,2025-04-17
2025-04-17 08:00:00+00:00,3295.199951171875,3297.0,3274.0,3277.10009765625,269111,2025-04-17
2025-04-17 08:30:00+00:00,3291.0,3302.39990234375,3284.0,3295.300048828125,224001,2025-04-17
2025-04-17 09:00:00+00:00,3298.5,3298.60009765625,3289.10009765625,3290.800048828125,168087,2025-04-17
2025-04-17 09:30:00+00:00,3298.0,3303.39990234375,3294.39990234375,3299.0,369567,2025-04-17
2025-04-21 04:00:00+00:00,3310.39990234375,3319.39990234375,3288.60009765625,3299.0,195339,2025-04-21
2025-04-21 04:30:00+00:00,3309.0,3317.0,3304.0,3310.89990234375,102852,2025-04-21
2025-04-21 05:00:00+00:00,3318.39990234375,3323.699951171875,3307.5,3309.699951171875,204385,2025-04-21
2025-04-21 05:30:00+00:00,3322.5,3322.89990234375,3311.89990234375,3319.10009765625,234433,2025-04-21
2025-04-21 06:00:00+00:00,3328.39990234375,3329.60009765625,3319.199951171875,3322.5,156412,2025-04-21
2025-04-21 06:30:00+00:00,3342.800048828125,3349.89990234375,3326.39990234375,3328.39990234375,205116,2025-04-21
2025-04-21 07:00:00+00:00,3349.0,3354.0,3341.10009765625,3342.60009765625,258695,2025-04-21
2025-04-21 07:30:00+00:00,3327.89990234375,3352.0,3327.0,3349.699951171875,278316,2025-04-21
2025-04-21 08:00:00+00:00,3333.0,3334.5,3323.89990234375,3327.89990234375,202419,2025-04-21
2025-04-21 08:30:00+00:00,3327.0,3334.300048828125,3326.0,3333.0,112766,2025-04-21
2025-04-21 09:00:00+00:00,3326.300048828125,3331.0,3325.10009765625,3326.0,92715,2025-04-21
2025-04-21 09:30:00+00:00,3319.0,3328.39990234375,3315.0,3326.199951171875,204260,2025-04-21
2025-04-22 04:00:00+00:00,3308.10009765625,3326.39990234375,3304.5,3307.39990234375,200888,2025-04-22
2025-04-22 04:30:00+00:00,3303.300048828125,3313.0,3303.0,3308.10009765625,73565,2025-04-22
2025-04-22 05:00:00+00:00,3319.89990234375,3322.0,3302.10009765625,3303.0,124427,2025-04-22
2025-04-22 05:30:00+00:00,3331.800048828125,3333.89990234375,3316.0,3319.89990234375,224383,2025-04-22
2025-04-22 06:00:00+00:00,3330.39990234375,3332.0,3322.199951171875,3331.800048828125,125156,2025-04-22
2025-04-22 06:30:00+00:00,3323.699951171875,3331.5,3319.300048828125,3330.0,156020,2025-04-22
2025-04-22 07:00:00+00:00,3324.199951171875,3329.699951171875,3320.699951171875,3322.800048828125,121649,2025-04-22
2025-04-22 07:30:00+00:00,3316.10009765625,3324.10009765625,3310.60009765625,3324.10009765625,226670,2025-04-22
2025-04-22 08:00:00+00:00,3312.300048828125,3317.0,3305.60009765625,3315.10009765625,357069,2025-04-22
2025-04-22 08:30:00+00:00,3308.800048828125,3314.89990234375,3304.10009765625,3312.699951171875,340999,2025-04-22
2025-04-22 09:00:00+00:00,3314.39990234375,3316.800048828125,3306.10009765625,3308.800048828125,236173,2025-04-22
2025-04-22 09:30:00+00:00,3312.60009765625,3319.800048828125,3310.300048828125,3314.699951171875,371152,2025-04-22
2025-04-23 04:00:00+00:00,3392.699951171875,3394.800048828125,3379.800048828125,3384.800048828125,320581,2025-04-23
2025-04-23 04:30:00+00:00,3390.199951171875,3397.39990234375,3377.199951171875,3392.300048828125,267401,2025-04-23
2025-04-23 05:00:00+00:00,3378.0,3394.10009765625,3371.89990234375,3390.199951171875,184752,2025-04-23
2025-04-23 05:30:00+00:00,3402.60009765625,3402.60009765625,3377.60009765625,3378.0,224875,2025-04-23
2025-04-23 06:00:00+00:00,3406.60009765625,3420.0,3397.300048828125,3403.300048828125,299617,2025-04-23
2025-04-23 06:30:00+00:00,3413.89990234375,3418.0,3405.0,3405.0,166899,2025-04-23
2025-04-23 07:00:00+00:00,3412.300048828125,3420.89990234375,3405.0,3413.89990234375,138972,2025-04-23
2025-04-23 07:30:00+00:00,3409.300048828125,3415.0,3406.60009765625,3412.300048828125,114693,2025-04-23
2025-04-23 08:00:00+00:00,3410.10009765625,3410.699951171875,3401.800048828125,3409.300048828125,196525,2025-04-23
2025-04-23 08:30:00+00:00,3415.699951171875,3419.0,3408.199951171875,3409.60009765625,184872,2025-04-23
2025-04-23 09:00:00+00:00,3418.0,3419.699951171875,3413.0,3415.699951171875,272355,2025-04-23
