ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2002-08-29,18.311069455092774,-57.54117232848788,127.77763467783313,18.311069455092774,18.311069455092774,15.056663573245944,15.056663573245944,15.056663573245944,0.0,0.0,0.0,0.0,0.0,0.0,-1.443788427351549,-1.443788427351549,-1.443788427351549,16.50045200059749,16.50045200059749,16.50045200059749,0.0,0.0,0.0,33.36773302833872
2002-08-30,18.40066451693483,-55.391642449573176,120.5592272297576,18.40066451693483,18.40066451693483,14.000706253446614,14.000706253446614,14.000706253446614,0.0,0.0,0.0,0.0,0.0,0.0,-3.227773732805732,-3.227773732805732,-3.227773732805732,17.228479986252346,17.228479986252346,17.228479986252346,0.0,0.0,0.0,32.40137077038145
2002-09-02,18.669449702461012,-51.90128941615285,131.73238982680573,18.669449702461012,18.669449702461012,16.685342253031592,16.685342253031592,16.685342253031592,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896530274,-2.3117504896530274,-2.3117504896530274,18.997092742684618,18.997092742684618,18.997092742684618,0.0,0.0,0.0,35.3547919554926
2002-09-03,18.759044764303074,-54.70409492403224,124.37180357877301,18.759044764303074,18.759044764303074,16.638065425550963,16.638065425550963,16.638065425550963,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564814729,-2.796451564814729,-2.796451564814729,19.434516990365694,19.434516990365694,19.434516990365694,0.0,0.0,0.0,35.39711018985403
2002-09-04,18.84863982614513,-47.5843932442881,121.59860487297101,18.84863982614513,18.84863982614513,17.39313691110531,17.39313691110531,17.39313691110531,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224071489,-2.399923224071489,-2.399923224071489,19.7930601351768,19.7930601351768,19.7930601351768,0.0,0.0,0.0,36.24177673725044
2002-09-05,18.938234887987193,-48.067841100520965,121.54462485980257,18.938234887987193,18.938234887987193,18.629649740747887,18.629649740747887,18.629649740747887,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273474737,-1.4437884273474737,-1.4437884273474737,20.073438168095358,20.073438168095358,20.073438168095358,0.0,0.0,0.0,37.56788462873508
2002-09-06,19.02782994982925,-47.668561325421805,125.6296357043973,19.02782994982925,19.02782994982925,17.050124799827614,17.050124799827614,17.050124799827614,0.0,0.0,0.0,0.0,0.0,0.0,-3.227773732800409,-3.227773732800409,-3.227773732800409,20.277898532628022,20.277898532628022,20.277898532628022,0.0,0.0,0.0,36.07795474965687
2002-09-09,19.29661513535543,-50.822126777438385,123.45539832282167,19.29661513535543,19.29661513535543,18.16682171340703,18.16682171340703,18.16682171340703,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896556014,-2.3117504896556014,-2.3117504896556014,20.47857220306263,20.47857220306263,20.47857220306263,0.0,0.0,0.0,37.463436848762456
2002-09-10,19.386210197197492,-48.605339248399254,123.54560615126294,19.386210197197492,19.386210197197492,17.631262169035097,17.631262169035097,17.631262169035097,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564819696,-2.796451564819696,-2.796451564819696,20.42771373385479,20.42771373385479,20.42771373385479,0.0,0.0,0.0,37.01747236623259
2002-09-11,19.475805259039554,-48.613370421276336,129.56860550358203,19.475805259039554,19.475805259039554,17.92999944244921,17.92999944244921,17.92999944244921,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224073296,-2.399923224073296,-2.399923224073296,20.329922666522503,20.329922666522503,20.329922666522503,0.0,0.0,0.0,37.40580470148876
